YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201603,102667,615187,1,2.82,"SSE","ANTIOCH",34.68,-97.4,3440800,9724000
201603,102667,615188,1,1.84,"WSW","SCULLIN",34.51,-96.89,3430600,9653400
201603,102667,615189,1,0,"N","CONNERVILLE",34.45,-96.63,3427000,9637800
201603,102667,615190,1,0,"N","ATOKA",34.38,-96.13,3422800,967800
201603,102693,625566,1,3,"ESE","GASTON",45.4134,-123.0729,4524804,1234374
201603,102693,625566,2,5,"SW","BEAVERTON",45.4288,-122.893,4525728,12253580
201603,102693,625567,1,0,"N","NEHALEM",45.72,-123.9,4543200,12354000
201603,102693,625567,2,.5,"E","NEHALEM",45.72,-123.8896,4543200,12353376
201603,102738,613936,1,.91,"SSW","OLLA",31.8872,-92.2332,3153232,9213992
201603,102739,613937,1,.86,"NW","BOUGHTON",33.8588,-93.3407,3351528,9320442
201603,102747,613991,1,5.03,"S","METHOW",48.0776,-120.0117,484656,120702
201603,102747,613991,2,5,"S","METHOW",48.0781,-120.0109,484686,120654
201603,102747,613991,3,5.04,"S","METHOW",48.0773,-120.01,484638,120600
201603,102747,613991,4,5.06,"S","METHOW",48.0772,-120.0109,484632,120654
201603,102747,613992,1,10.43,"ESE","TORBOY",48.6043,-118.4724,4836258,11828344
201603,102747,613992,2,10.37,"ESE","TORBOY",48.6064,-118.4721,4836384,11828326
201603,102747,613992,3,10.44,"ESE","TORBOY",48.6055,-118.4712,4836330,11828272
201603,102747,613992,4,10.46,"ESE","TORBOY",48.6045,-118.4715,4836270,11828290
201603,102747,614029,1,.59,"SSW","EVANS",48.7119,-118.0239,4842714,1181434
201603,102747,614029,2,.54,"S","EVANS",48.7122,-118.0218,4842732,1181308
201603,102747,614029,3,.58,"S","EVANS",48.7117,-118.022,4842702,1181320
201603,102747,614029,4,.6,"SSW","EVANS",48.7115,-118.0228,4842690,1181368
201603,102747,614303,1,.76,"NW","WEST WENATCHEE",47.438,-120.3412,4726280,12020472
201603,102747,614303,2,.77,"NW","WEST WENATCHEE",47.4379,-120.3416,4726274,12020496
201603,102747,614303,3,.75,"NW","WEST WENATCHEE",47.4378,-120.3412,4726268,12020472
201603,102747,614303,4,.75,"NW","WEST WENATCHEE",47.438,-120.3409,4726280,12020454
