"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"RQC00666128","1955","17.98333","-66.15","42.1","MELANIA DAM, PR US","58","0","50","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","73.7",",0,0604,","764.4",",0","0",",0"
"RQC00666128","1956","17.98333","-66.15","42.1","MELANIA DAM, PR US","73","0","62","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","101.6",",0,0618,","1302.9",",0","0",",0"
"RQC00666128","1957","17.98333","-66.15","42.1","MELANIA DAM, PR US","62","0","45","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","71.9",",0,0605,","713.6",",0","0",",0"
"RQC00666128","1958","17.98333","-66.15","42.1","MELANIA DAM, PR US","102","0","84","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","120.7",",0,0721,","1578.8",",0","0",",0"
"RQC00666128","1959","17.98333","-66.15","42.1","MELANIA DAM, PR US","64","0","49","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","66.5",",0,1001,","932.6",",0","0",",0"
"RQC00666128","1960","17.98333","-66.15","42.1","MELANIA DAM, PR US","88","0","72","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","137.2",",0,0905,","1785.5",",0","0",",0"
"RQC00666128","1961","17.98333","-66.15","42.1","MELANIA DAM, PR US","81","0","68","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","226.1",",0,0827,","1223.5",",0","0",",0"
"RQC00666128","1962","17.98333","-66.15","42.1","MELANIA DAM, PR US","71","0","54","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","106.4",",0,1015,","925.3",",0","0",",0"
"RQC00666128","1963","17.98333","-66.15","42.1","MELANIA DAM, PR US","","","","","0","","0","0","0",",0,1231,+","0",",0,1231,+","","","566.7",",0","0",",0"
"RQC00666128","1964","17.98333","-66.15","42.1","MELANIA DAM, PR US","92","0","59","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","58.4",",0,0923,","720.0",",0","0",",0"
"RQC00666128","1965","17.98333","-66.15","42.1","MELANIA DAM, PR US","94","0","65","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","72.4",",0,0810,","975.9",",0","0",",0"
"RQC00666128","1966","17.98333","-66.15","42.1","MELANIA DAM, PR US","89","0","65","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","64.0",",0,1017,","1002.5",",0","0",",0"
"RQC00666128","1967","17.98333","-66.15","42.1","MELANIA DAM, PR US","83","0","56","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","62.2",",0,1030,","519.8",",0","0",",0"
"RQC00666128","1968","17.98333","-66.15","42.1","MELANIA DAM, PR US","86","0","65","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","81.3",",0,0604,","868.9",",0","0",",0"
