"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00248857","1924","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","0.6","","0.6","0","90","0","66","0","","","46","0","78","0","306","0","90","0","81","0","1","0","-50.6","0,1219,","","","203",",0,1010,","35.6",",0,0720,","32.2","0,0701,","0.0","0,0801","-2.8","0,0807","-6.7","0,0902","-6.7","0,0902","-9.4","0,0928","-0.6","0,0731","-2.8","0,0724","-5.0","0,0630","-7.2","0,0608","-8.9","0,0510","","","","","525.7",",0","3270",",0","-0.14","0","9.53","0","-9.80","0"
"USC00248857","1932","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","","","","","","","","","","","","","76","0","297","0","96","0","82","0","0","0","-42.8","0,1211,","","","","","","","31.7","0,0819,+","-1.7","0,0801","-2.2","0,0802","-4.4","0,0830","-8.3","0,0909","-10.0","0,0922","-2.2","0,0722","-2.2","0,0722","-5.6","0,0705","-7.8","0,0527","-9.4","0,0430","","","","","","","","","0.27","0","9.55","0","-9.01","0"
"USC00248857","1933","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","12.3","","12.3","0","100","0","53","0","163","","53","0","48","0","279","0","84","0","100","0","9","0","-54.4","0,0209,","1321",",0,0223,","254",",0,0128,","17.8",",0,0924,","35.6","0,0725,","-0.6","0,0805","-2.8","0,0807","-5.0","0,0917","-6.7","0,0919","-8.9","0,1002","-0.6","0,0703","-2.8","0,0621","-4.4","0,0606","-6.7","0,0529","-9.4","0,0513","","","","","410.4",",0","3794",",0","1.80","0","10.74","0","-7.15","0"
"USC00248857","1934","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","7.8","","7.8","0","94","0","52","0","164","","46","0","36","0","296","0","54","0","123","0","6","0","-31.1","0,0107,","686",",0,1230,","152",",0,1230,+","25.9",",0,0607,","34.4","0,0728,","-0.6","0,0801","-2.2","0,0813","-5.0","0,0903","-8.9","0,0915","-8.9","0,0915","-2.2","0,0714","-2.2","0,0714","-5.0","0,0609","-8.9","0,0513","-8.9","0,0513","5058.3","","5058.3","0","398.2",",0","2296",",0","3.95","0","13.73","0","-5.83","0"
"USC00248857","1935","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","","","","","99","0","61","0","193","","55","0","","","","","75","0","109","0","10","0","","","1321",",0,0405,","254",",0,0404,+","20.3",",0,0527,","35.6","0,0715,","","","","","","","","","","","","","","","","","","","","","5831.5","","5831.5","0","450.1",",0","4232",",0","","","11.72","0","",""
"USC00248857","1939","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","11.4","","11.4","0","","","","","","","","","48","0","292","0","77","0","107","0","9","0","-36.7","0,1228,","","","","","","","35.0","0,0714,","-2.2","0,0807","-2.2","0,0807","-5.6","0,0810","-6.7","0,0920","-10.0","0,0929","-1.1","0,0724","-2.2","0,0722","-4.4","0,0610","-6.7","0,0522","-9.4","0,0420","6044.8","","6044.8","0","","","","","2.64","0","12.41","0","-7.13","0"
"USC00248857","1940","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","1.1","","1.1","0","150","0","76","0","175","","56","0","54","0","286","0","67","0","108","0","11","0","-41.1","0,0119,","1168",",0,0310,","257",",0,0310,","30.0",",0,0228,","35.6","0,0813,","-1.7","0,0803","-2.8","0,0829","-4.4","0,0915","-7.2","0,1005","-8.9","0,1007","-3.3","0,0728","-3.3","0,0728","-5.6","0,0629","-8.3","0,0508","-11.1","0,0507","5449.7","","5449.7","0","670.7",",0","3999",",0","2.73","0","12.27","0","-6.80","0"
"USC00248857","1941","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","4.2","","4.2","0","","","","","","","","","52","0","259","0","54","0","83","0","1","0","-35.6","0,0103,","","","","","","","32.2","0,0804,","0.0","0,0821","-2.2","0,0908","-5.6","0,0913","-6.7","0,0916","-11.1","0,1006","-2.2","0,0626","-2.2","0,0626","-7.2","0,0520","-7.2","0,0520","-10.0","0,0423","5600.9","","5600.9","0","","","","","2.48","0","11.30","0","-6.33","0"
"USC00248857","1942","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","2.3","","2.3","0","147","0","72","0","185","","59","0","64","0","289","0","85","0","93","0","7","0","-44.4","0,0104,","991",",0,1227,+","394",",0,0128,","23.6",",0,0128,","33.9","0,0705,","0.0","0,0801","-3.3","0,0814","-5.6","0,0901","-8.9","0,0926","-8.9","0,0926","0.0","0,0731","-2.8","0,0622","-5.0","0,0612","-8.9","0,0518","-8.9","0,0518","6199.4","","6199.4","0","556.8",",0","4129",",0","1.35","0","10.76","0","-8.07","0"
"USC00248857","1943","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6147.4","","6147.4","0","","","","","","","","","",""
"USC00248857","1944","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","0.0","","0.0","0","128","0","59","0","188","","41","0","69","0","295","0","95","0","87","0","0","0","-36.1","0,0107,","914",",0,0209,","305",",0,1112,","24.9",",0,0929,","31.1","0,0718,","-2.2","0,0804","-2.2","0,0804","-4.4","0,0915","-8.3","0,0928","-9.4","0,1006","0.0","0,0724","-2.8","0,0711","-5.0","0,0526","-6.7","0,0524","-8.9","0,0504","","","","","521.6",",0","3394",",0","0.97","0","10.22","0","-8.28","0"
"USC00248857","1945","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","0.0","","0.0","0","155","0","75","0","178","","62","0","56","0","286","0","87","0","76","0","1","0","-38.9","0,1218,","1041",",0,0318,+","178",",0,1107,","37.3",",0,0510,","32.8","0,0725,","-1.1","0,0801","-4.4","0,0827","-4.4","0,0827","-8.3","0,0912","-10.0","0,0928","0.0","0,0731","-2.8","0,0706","-4.4","0,0701","-6.7","0,0508","-12.2","0,0426","6131.4","","6131.4","0","635.1",",0","3902",",0","1.37","0","9.70","0","-6.97","0"
"USC00248857","1946","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","0.6","","0.6","0","123","0","69","0","","","","","51","0","289","0","67","0","91","0","4","0","-37.8","0,1217,","","","","","23.4",",0,0320,","33.3","0,0721,","-1.7","0,0801","-2.8","0,0808","-4.4","0,0818","-6.7","0,0910","-8.9","0,0922","-0.6","0,0720","-4.4","0,0719","-4.4","0,0719","-8.9","0,0520","-8.9","0,0520","6079.4","","6079.4","0","579.0",",0","","","1.86","0","10.92","0","-7.19","0"
"USC00248857","1949","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","","","","","","","","","174","","44","0","","","","","","","","","","","","","1397",",0,0211,","254",",0,0210,","","","","","","","","","","","","","","","","","","","","","","","","","6264.3","","6264.3","0","","","4157",",0","","","","","",""
"USC00248857","1950","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","0.0","","0.0","0","136","0","64","0","191","","68","0","39","0","279","0","80","0","78","0","3","0","-40.6","0,0203,","1168",",0,0224,","305",",0,1201,","25.1",",0,1015,","32.8","0,0904,+","-1.1","0,0801","-2.2","0,0826","-6.1","0,0912","-6.7","0,0930","-11.7","0,1001","-1.7","0,0731","-2.8","0,0610","-6.1","0,0603","-6.7","0,0526","-8.9","0,0509","","","","","550.0",",0","5300",",0","1.53","0","9.27","0","-6.20","0"
"USC00248857","1951","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","0.6","","0.6","0","143","0","78","0","","","","","54","0","282","0","105","0","64","0","0","0","-48.3","0,0129,","","","","","34.8",",0,0720,","31.7","0,0718,","0.0","0,0809","-2.2","0,0826","-4.4","0,0909","-7.2","0,0912","-8.9","0,0927","-1.1","0,0713","-3.3","0,0712","-4.4","0,0609","-6.7","0,0603","-13.9","0,0422","6084.4","","6084.4","0","714.6",",0","","","0.54","0","8.69","0","-7.61","0"
"USC00248857","1952","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","0.3","","0.3","0","121","0","63","0","169","","54","0","60","0","275","0","103","0","104","0","0","0","-37.8","0,1126,","1803",",0,0325,+","406",",0,0115,","33.8",",0,0624,","30.6","0,0730,","-0.6","0,0817","-3.3","0,0901","-8.3","0,0914","-8.3","0,0914","-8.9","0,1007","-0.6","0,0714","-3.3","0,0707","-5.6","0,0517","-7.2","0,0423","-11.7","0,0422","6361.6","","6361.6","0","500.9",",0","5007",",0","1.47","0","10.80","0","-7.87","0"
"USC00248857","1953","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","10.3","","10.3","0","117","0","54","0","172","","50","0","40","0","273","0","81","0","101","0","3","0","-37.2","0,0220,","1321",",0,0218,","305",",0,0218,","27.4",",0,0519,","32.8","0,0713,","0.0","0,0825","-4.4","0,0903","-4.4","0,0903","-10.6","0,1003","-10.6","0,1003","-1.1","0,0721","-2.8","0,0627","-5.0","0,0525","-8.3","0,0512","-10.0","0,0503","5842.8","","5842.8","0","462.1",",0","3980",",0","2.53","0","11.18","0","-6.11","0"
